learner_id,diagnostic_score,prior_ai_experience,scenario_performance,practice_completion_pct,confidence_1_to_5,completed_advanced_pathway
L0632,100.0,0,92.7,76.0,4,1
L0633,55.9,1,60.3,83.5,2,1
L0634,32.9,2,18.6,63.2,4,0
L0635,57.3,1,41.8,60.1,2,1
L0636,57.7,1,74.8,73.7,3,0
L0637,59.2,3,62.4,52.1,4,1
L0638,45.3,3,40.8,81.9,3,1
L0639,70.7,3,61.8,66.8,5,1
L0640,69.9,2,63.6,57.1,4,1
L0641,39.6,0,55.6,58.1,4,0
L0642,72.5,1,48.6,84.2,4,1
L0643,92.8,1,65.9,50.0,5,1
L0644,64.6,1,63.8,26.4,2,1
L0645,56.9,1,55.1,66.7,4,0
L0646,59.9,2,64.8,70.7,2,1
L0647,71.2,1,49.4,74.1,3,0
L0648,36.0,2,49.1,46.8,4,0
L0649,64.5,1,73.6,38.3,4,0
L0650,56.1,1,61.7,58.2,2,1
L0651,89.7,0,76.0,24.2,3,1
L0652,59.4,0,56.5,45.2,3,0
L0653,87.0,2,62.8,87.6,3,1
L0654,45.4,1,49.1,80.7,4,1
L0655,70.8,0,79.1,86.4,5,1
L0656,66.8,2,60.3,79.7,3,1
L0657,49.0,1,41.3,45.6,2,1
L0658,64.7,0,54.7,85.9,2,1
L0659,80.2,1,71.5,67.5,3,1
L0660,57.1,0,51.9,53.9,2,0
L0661,36.6,2,51.0,81.2,4,1
L0662,61.7,0,65.2,69.5,4,1
L0663,48.5,0,62.3,60.2,3,1
L0664,56.9,0,73.4,70.3,5,0
L0665,60.8,1,70.4,83.6,2,1
L0666,36.4,0,33.8,85.0,3,1
L0667,37.8,2,34.9,90.5,4,0
L0668,69.2,0,62.2,86.1,4,1
L0669,54.2,1,49.4,75.2,4,0
L0670,23.5,1,24.3,75.6,3,0
L0671,73.8,1,60.3,67.7,4,1
L0672,66.1,0,55.7,62.3,3,0
L0673,51.3,2,45.1,61.6,4,0
L0674,42.2,3,44.4,76.0,4,1
L0675,74.5,0,80.1,61.8,4,1
L0676,67.2,0,64.4,65.1,2,0
L0677,97.7,3,100.0,52.6,2,1
L0678,68.3,1,64.6,78.3,4,0
L0679,67.8,0,58.8,86.9,1,0
L0680,59.5,0,57.8,34.9,4,0
L0681,74.3,2,68.9,84.6,4,1
L0682,71.4,2,69.5,95.6,3,1
L0683,80.8,1,94.3,72.6,3,1
L0684,54.2,3,44.7,42.7,2,0
L0685,55.5,1,65.8,82.8,3,1
L0686,54.8,1,57.6,47.3,3,0
L0687,73.9,1,46.8,73.6,2,1
L0688,84.5,1,80.7,58.1,2,1
L0689,55.1,0,70.5,90.7,3,0
L0690,55.6,0,45.3,53.4,3,0
L0691,66.7,1,61.6,55.3,5,1
L0692,58.3,2,36.4,49.0,3,0
L0693,76.3,0,51.8,69.5,3,0
L0694,28.2,1,53.1,66.8,3,0
L0695,49.6,2,46.7,60.0,3,0
L0696,50.3,1,39.3,71.9,2,0
L0697,27.2,2,42.7,81.8,2,0
L0698,47.5,2,44.9,55.5,2,1
L0699,48.3,2,45.9,67.8,3,1
L0700,59.0,0,66.3,76.3,4,1
L0701,78.7,1,54.3,79.6,1,1
L0702,58.3,1,46.2,96.0,3,1
L0703,46.5,0,52.4,91.3,2,1
L0704,61.1,0,70.3,72.8,3,0
L0705,77.7,0,82.6,38.4,4,0
L0706,47.4,1,43.1,82.7,3,1
L0707,48.3,1,62.8,80.2,3,1
L0708,70.4,0,54.3,45.0,4,0
L0709,58.7,2,79.2,85.9,4,1
L0710,71.7,3,50.8,55.8,2,0
L0711,61.8,0,74.9,69.2,3,1
L0712,72.5,3,57.0,60.3,2,1
L0713,46.5,0,74.7,60.7,3,1
L0714,61.8,3,66.1,58.3,4,1
L0715,58.8,3,45.2,67.6,2,1
L0716,43.8,0,42.8,79.4,3,0
L0717,38.5,2,55.6,87.1,3,0
L0718,72.3,3,77.4,80.8,4,1
L0719,56.7,3,55.4,66.3,4,1
L0720,46.7,3,51.2,43.1,4,0
L0721,60.6,1,67.4,64.1,3,0
L0722,78.9,0,70.0,39.7,4,1
L0723,27.8,2,24.8,73.4,2,1
L0724,39.6,1,37.0,43.6,2,1
L0725,48.2,1,54.3,66.0,1,0
L0726,83.9,1,85.7,53.3,3,1
L0727,66.2,1,80.8,80.5,2,1
L0728,73.5,0,74.8,90.6,3,1
L0729,44.9,2,53.1,70.7,1,1
L0730,45.2,0,58.8,54.4,3,0
L0731,68.7,2,54.8,86.5,4,1
L0732,62.9,2,57.7,73.7,2,1
L0733,70.2,1,53.7,53.1,3,1
L0734,59.2,1,42.6,64.9,3,0
L0735,66.2,1,65.4,56.7,3,1
L0736,64.4,3,62.6,75.8,4,0
L0737,73.7,2,73.8,59.4,4,1
L0738,74.1,1,72.3,46.3,3,0
L0739,37.7,0,48.6,73.0,2,1
L0740,28.3,0,47.2,90.1,3,0
L0741,77.0,1,66.9,81.5,4,1
L0742,79.8,3,73.9,68.3,2,1
L0743,46.7,2,42.0,77.0,3,0
L0744,34.1,0,48.2,81.4,3,0
L0745,63.5,2,67.9,61.0,3,1
L0746,76.0,1,58.7,64.4,2,0
L0747,89.0,2,74.6,76.7,1,1
L0748,69.7,0,55.9,86.5,4,1
L0749,56.4,1,49.7,93.6,4,1
L0750,48.6,3,38.2,35.9,1,0
L0751,62.2,0,74.4,53.0,3,0
L0752,57.5,2,69.4,53.7,4,1
L0753,46.8,3,57.2,84.4,4,0
L0754,92.7,0,99.7,82.7,3,1
L0755,88.8,0,71.6,68.1,2,1
L0756,79.0,2,100.0,77.9,3,1
L0757,48.2,1,48.8,75.9,3,1
L0758,74.8,0,69.2,81.7,3,0
L0759,71.6,1,59.6,80.6,3,1
L0760,68.6,2,67.2,88.7,2,1
L0761,80.7,1,79.4,81.6,3,1
L0762,71.5,1,63.0,79.2,4,1
L0763,73.1,2,86.5,74.8,3,1
L0764,71.6,1,67.2,68.0,3,0
L0765,67.1,2,65.2,72.6,5,1
L0766,35.2,1,33.5,77.0,3,0
L0767,63.3,3,64.8,87.2,4,1
L0768,53.7,2,52.9,79.1,2,1
L0769,42.8,0,41.2,51.7,4,0
L0770,87.2,3,63.7,37.6,4,1
L0771,87.9,1,100.0,65.7,3,0
L0772,82.4,0,67.2,85.7,5,1
L0773,65.8,0,43.7,85.7,4,1
L0774,82.3,2,61.9,65.5,2,1
L0775,62.2,0,58.6,54.4,3,1
L0776,65.0,1,67.3,55.2,4,1
L0777,45.6,0,56.7,85.9,4,1
L0778,68.0,1,70.5,67.9,2,0
L0779,62.9,1,51.9,78.5,3,1
L0780,42.5,1,52.4,71.4,3,0
L0781,61.2,0,48.2,48.9,3,0
L0782,60.8,0,51.0,77.1,5,1
L0783,89.0,1,62.9,64.1,3,0
L0784,75.4,1,52.2,19.5,3,1
L0785,62.2,2,72.0,53.2,4,1
L0786,65.7,0,69.4,53.9,3,0
L0787,62.7,0,71.2,81.8,4,0
L0788,59.0,0,57.9,48.7,2,0
L0789,45.8,1,59.5,85.4,3,1
L0790,59.7,1,36.7,49.3,4,0
L0791,50.8,2,63.3,65.4,5,0
L0792,43.2,1,50.9,86.1,2,1
L0793,69.7,1,70.8,75.6,2,0
L0794,67.9,1,66.9,72.4,4,1
L0795,35.2,0,32.5,71.4,3,0
L0796,60.2,1,40.1,62.4,3,1
L0797,76.9,1,58.8,73.6,4,1
L0798,77.9,1,74.6,68.4,3,1
L0799,77.4,0,75.8,32.7,1,1
L0800,62.6,2,43.0,60.2,2,1
L0801,49.3,3,40.4,75.1,3,0
L0802,45.7,0,41.5,70.9,1,1
L0803,67.2,1,57.7,75.1,3,0
L0804,67.7,2,45.9,55.7,2,1
L0805,81.3,1,52.7,56.1,5,1
L0806,78.5,2,58.3,68.2,5,0
L0807,60.0,2,59.0,71.7,2,1
L0808,43.3,3,34.7,79.7,3,1
L0809,57.2,3,55.1,72.3,2,1
L0810,65.3,0,73.6,83.4,3,1
L0811,59.0,1,41.8,46.2,5,1
L0812,53.3,1,51.9,50.6,3,1
L0813,65.8,0,73.5,67.5,3,1
L0814,54.4,1,49.9,57.5,2,0
L0815,52.6,3,47.0,80.5,4,1
L0816,66.7,0,75.6,45.0,1,1
L0817,56.0,1,52.1,65.5,3,0
L0818,65.7,2,74.4,81.2,3,1
L0819,66.1,1,66.5,85.6,3,1
L0820,44.9,1,45.6,85.0,4,0
L0821,54.8,3,60.9,50.0,4,0
L0822,83.6,1,74.8,62.8,2,1
L0823,44.6,0,61.8,54.5,5,0
L0824,30.3,0,35.1,60.6,2,0
L0825,34.1,3,44.2,72.6,4,0
L0826,62.4,0,58.6,85.8,3,0
L0827,62.5,1,67.8,82.8,3,0
L0828,60.2,0,45.8,87.9,3,0
L0829,80.2,1,81.3,82.0,3,1
L0830,21.9,3,42.6,69.0,3,0
L0831,67.9,1,46.6,77.6,2,0
L0832,85.4,3,86.5,59.0,3,1
L0833,45.1,0,76.6,94.1,2,1
L0834,56.3,1,68.0,71.7,2,0
L0835,50.7,2,70.0,83.3,2,1
L0836,48.6,1,52.7,88.7,2,0
L0837,57.1,0,36.5,84.7,3,0
L0838,83.4,2,48.7,47.5,3,1
L0839,89.6,1,77.3,63.1,3,1
L0840,57.0,1,49.2,68.8,5,0
L0841,90.6,3,63.8,40.9,1,1
L0842,62.5,0,58.6,58.4,4,1
L0843,88.3,1,81.0,80.4,3,1
L0844,60.6,0,40.9,77.3,4,1
L0845,64.0,1,54.8,35.0,4,0
L0846,67.5,0,80.2,62.6,3,0
L0847,100.0,2,67.1,84.3,3,1
L0848,74.8,0,76.6,42.6,2,1
L0849,51.4,2,47.4,65.3,4,0
L0850,76.5,0,73.6,82.3,1,1
L0851,56.6,1,69.3,67.0,4,1
L0852,54.7,1,64.0,67.3,3,1
L0853,75.6,2,77.5,79.9,3,1
L0854,62.5,1,45.5,90.5,3,1
L0855,66.2,1,74.8,74.0,3,0
L0856,62.2,2,49.0,51.9,4,1
L0857,67.0,1,65.0,56.0,5,0
L0858,68.4,0,65.7,47.4,4,0
L0859,32.9,3,48.9,56.0,3,1
L0860,72.0,1,68.6,87.3,4,1
L0861,47.3,0,40.9,79.1,4,1
L0862,40.4,1,31.0,49.0,2,0
L0863,61.1,0,69.1,84.5,2,1
L0864,63.3,0,62.0,82.4,3,1
L0865,51.6,2,67.2,51.9,4,0
L0866,74.5,0,65.4,58.6,2,0
L0867,41.9,2,31.2,53.6,2,1
L0868,55.9,3,67.3,97.2,4,1
L0869,53.2,1,49.8,61.1,3,1
L0870,61.3,2,62.8,64.8,4,0
L0871,66.2,2,53.6,67.0,2,0
L0872,46.9,3,70.5,77.1,5,1
L0873,72.9,1,54.6,38.8,2,0
L0874,62.9,0,55.6,56.1,1,1
L0875,33.6,1,44.8,78.3,3,0
L0876,32.6,1,29.8,61.5,2,0
L0877,61.8,0,63.0,55.1,3,1
L0878,58.7,1,76.6,80.4,3,0
L0879,60.4,0,52.4,90.4,3,1
L0880,61.6,3,63.6,80.1,2,1
L0881,65.4,0,28.0,63.6,3,0
L0882,76.2,0,66.5,75.5,3,0
L0883,45.3,0,46.2,85.6,4,1
L0884,44.4,0,39.6,45.5,3,0
L0885,45.6,0,63.1,64.4,2,0
L0886,66.3,0,57.6,68.7,2,1
L0887,80.7,0,67.2,77.1,3,1
L0888,55.5,0,51.0,91.2,2,1
L0889,24.5,1,15.5,60.1,2,0
L0890,36.4,1,31.5,83.1,4,1
L0891,49.5,1,63.8,67.9,2,0
L0892,53.6,1,29.2,72.9,4,1
L0893,55.9,0,46.5,73.4,3,1
L0894,62.6,0,54.6,47.1,3,1
L0895,57.3,0,77.5,60.2,2,1
L0896,77.7,2,77.0,43.4,4,1
L0897,51.9,3,46.8,76.0,3,1
L0898,49.1,3,67.6,82.1,2,1
L0899,69.2,1,54.2,64.0,3,1
L0900,39.0,1,58.5,61.9,2,0
L0901,67.8,1,46.0,83.5,2,0
L0902,63.5,2,72.8,73.7,2,1
L0903,59.8,2,53.0,82.2,3,1
L0904,85.8,2,59.9,66.2,3,1
L0905,52.7,3,51.4,82.3,4,1
L0906,92.9,1,79.4,75.6,2,1
L0907,58.6,2,51.3,61.6,4,1
L0908,42.8,2,55.2,54.9,3,1
L0909,63.0,1,52.7,71.2,2,0
L0910,45.9,3,57.7,64.7,3,0
L0911,50.7,0,58.2,60.3,3,1
L0912,68.0,3,61.6,86.7,3,1
L0913,70.3,2,58.4,78.8,3,0
L0914,52.7,0,55.8,81.3,3,1
L0915,76.8,2,73.8,24.5,3,1
L0916,79.4,0,93.4,80.5,3,1
L0917,83.5,2,82.2,64.8,2,0
L0918,69.9,2,75.2,77.6,3,1
L0919,82.5,1,100.0,35.2,2,1
L0920,33.8,2,49.8,56.2,2,0
L0921,57.2,0,62.3,67.9,3,1
L0922,49.0,0,60.4,68.6,4,0
L0923,63.8,1,48.0,66.1,3,1
L0924,53.4,0,49.1,84.6,3,0
L0925,59.5,1,51.7,60.3,3,0
L0926,90.2,0,82.4,68.6,4,1
L0927,59.5,1,55.6,50.5,1,1
L0928,68.2,1,64.2,75.4,4,1
L0929,58.5,2,70.2,79.1,1,1
L0930,63.1,0,70.1,74.8,2,1
L0931,62.1,3,57.2,74.8,3,0
L0932,68.7,1,54.8,80.3,5,1
L0933,79.5,1,82.3,71.4,5,1
L0934,86.7,1,82.0,84.2,4,1
L0935,66.6,1,42.4,56.8,3,1
L0936,70.8,0,60.2,44.1,1,1
L0937,44.7,1,51.6,65.4,3,0
L0938,60.7,0,67.7,91.2,3,1
L0939,76.1,1,77.8,43.0,2,1
L0940,75.0,1,69.7,94.1,3,1
L0941,65.2,1,67.9,53.9,3,1
L0942,75.3,2,67.2,66.6,4,0
L0943,69.4,0,55.1,61.9,1,1
L0944,80.0,3,65.9,81.0,3,1
L0945,66.3,2,61.7,78.8,2,1
L0946,56.7,3,55.7,63.6,3,1
L0947,67.0,2,39.2,86.5,3,0
L0948,18.0,0,30.2,91.4,2,0
L0949,67.7,1,62.9,79.2,3,1
L0950,7.3,0,25.6,66.4,3,0
L0951,36.1,2,41.9,72.4,3,0
L0952,68.8,1,68.7,61.0,3,0
L0953,69.2,0,50.1,54.1,3,1
L0954,44.6,3,30.0,44.8,2,0
L0955,51.3,0,49.0,62.0,3,0
L0956,82.6,1,79.6,57.1,3,1
L0957,54.7,2,75.4,82.1,3,1
L0958,95.6,0,87.0,82.5,5,1
L0959,62.0,1,41.5,63.6,3,1
L0960,68.1,2,59.7,54.6,3,0
L0961,86.3,0,75.5,59.7,3,1
L0962,64.0,1,62.3,97.5,2,1
L0963,47.0,0,57.3,51.3,3,0
L0964,60.4,2,47.2,82.9,3,1
L0965,61.5,0,59.6,61.6,2,1
L0966,41.5,3,52.9,85.8,3,1
L0967,58.2,3,66.9,40.0,3,1
L0968,50.9,0,43.3,62.5,3,1
L0969,75.9,1,62.6,80.2,3,0
L0970,62.5,1,26.9,53.5,5,1
L0971,57.8,2,49.3,67.2,3,1
L0972,60.4,1,51.9,40.5,1,0
L0973,65.3,0,48.7,38.6,2,0
L0974,71.3,0,66.2,76.3,4,0
L0975,47.0,3,50.2,76.7,4,0
L0976,46.4,1,23.4,72.8,2,0
L0977,78.6,2,70.8,74.5,4,0
L0978,55.8,1,44.6,84.6,4,1
L0979,40.7,3,53.2,74.6,3,1
L0980,68.7,0,47.4,73.2,3,1
L0981,69.0,0,63.3,48.9,3,1
L0982,39.0,3,43.1,70.2,4,0
L0983,65.4,3,64.6,40.1,3,0
L0984,73.0,1,66.7,51.3,2,1
L0985,67.6,1,59.1,47.5,3,1
L0986,71.5,1,45.9,35.8,5,0
L0987,40.9,1,29.8,68.4,3,0
L0988,67.0,0,54.8,73.3,4,1
L0989,57.5,3,56.5,36.2,4,1
L0990,54.8,0,47.8,58.0,3,0
L0991,75.1,2,73.8,65.6,3,1
L0992,84.2,0,68.0,46.8,4,1
L0993,88.9,0,62.3,81.8,4,0
L0994,81.7,2,66.6,88.2,3,1
L0995,60.4,1,60.9,62.8,2,0
L0996,67.3,2,65.9,68.4,3,1
L0997,73.5,0,88.0,66.9,3,1
L0998,63.8,3,52.1,53.2,3,1
L0999,64.0,2,59.3,51.2,5,1
L1000,74.4,2,71.0,26.8,2,0
L1001,61.1,0,58.3,84.3,4,0
L1002,51.1,1,47.1,73.1,2,0
L1003,55.8,1,37.1,93.6,3,1
L1004,71.5,1,58.2,56.4,5,0
L1005,62.0,1,46.2,53.0,2,0
L1006,67.1,0,41.2,73.2,2,0
L1007,72.1,1,55.1,45.7,3,1
L1008,56.4,0,43.4,83.8,2,0
L1009,73.3,1,72.3,72.2,4,1
L1010,67.7,0,69.4,49.7,3,0
L1011,43.5,0,38.1,50.6,4,0
L1012,83.6,2,67.9,57.3,2,1
L1013,54.5,1,32.7,57.7,1,0
L1014,37.2,1,39.5,37.7,3,0
L1015,46.3,1,55.3,96.9,2,1
L1016,46.7,2,60.6,47.8,4,1
L1017,62.8,1,51.0,69.5,2,0
L1018,57.9,1,69.5,56.9,2,1
L1019,56.9,3,38.1,39.2,3,0
L1020,71.3,1,49.2,28.5,3,0
L1021,67.1,3,70.4,86.8,2,1
L1022,66.7,2,81.8,63.6,5,1
L1023,68.1,0,68.4,49.6,2,0
L1024,71.2,1,63.7,75.1,3,0
L1025,30.4,2,15.4,84.8,3,0
L1026,56.5,3,31.8,50.2,4,1
L1027,29.3,1,42.7,61.1,4,1
L1028,62.5,0,55.1,78.4,2,1
L1029,61.9,1,45.8,72.4,3,0
L1030,77.7,0,68.5,71.3,3,1
L1031,79.8,2,70.3,86.8,4,1
L1032,65.0,1,72.1,34.3,2,0
L1033,54.5,2,56.6,45.6,5,1
L1034,69.3,2,77.8,16.9,2,1
L1035,54.1,2,54.8,92.2,3,1
L1036,62.0,1,57.7,83.0,2,1
L1037,76.8,2,80.0,64.3,2,1
L1038,53.6,2,42.8,65.9,2,1
L1039,74.1,2,99.5,76.7,2,1
L1040,72.2,0,69.2,89.8,3,1
L1041,47.7,1,55.8,71.0,2,1
L1042,76.6,0,73.4,61.5,4,1
L1043,72.5,2,87.4,59.9,2,1
L1044,63.5,2,69.5,74.2,2,1
L1045,50.6,1,33.6,49.2,3,1
L1046,49.1,0,68.9,44.2,4,0
L1047,53.9,1,50.6,75.5,3,1
L1048,70.1,2,64.9,75.3,3,1
L1049,47.7,0,35.9,34.0,2,0
L1050,68.6,0,69.0,79.8,2,1
L1051,43.4,3,41.0,54.4,2,0
L1052,58.9,2,58.6,70.7,4,1
L1053,63.6,0,56.6,40.7,4,1
L1054,98.7,1,100.0,34.6,2,1
L1055,41.3,3,71.5,67.0,3,1
L1056,84.1,2,71.8,43.7,2,0
L1057,64.2,1,61.1,32.5,2,0
L1058,68.2,1,58.0,55.9,4,0
L1059,63.8,1,73.3,71.8,3,1
L1060,68.7,0,58.8,31.9,5,1
L1061,59.7,2,52.8,89.7,4,1
L1062,83.8,0,82.8,82.7,4,1
L1063,55.2,0,48.9,45.7,4,1
L1064,79.0,2,68.0,72.6,3,1
L1065,52.3,3,34.8,56.1,4,0
L1066,61.1,2,67.1,59.4,3,0
L1067,45.9,1,73.5,52.2,5,0
L1068,68.8,1,71.5,61.8,3,0
L1069,83.7,1,88.6,80.9,3,1
L1070,60.8,1,48.3,71.3,3,1
L1071,59.0,1,60.3,49.3,5,0
L1072,45.3,1,38.6,62.5,2,0
L1073,58.6,1,54.5,93.4,5,1
L1074,38.1,3,55.2,38.1,3,0
L1075,48.3,3,52.8,73.7,2,1
L1076,65.4,0,44.0,45.4,2,1
L1077,81.8,1,54.2,75.2,2,1
L1078,100.0,0,63.4,49.4,4,1
L1079,53.2,1,60.2,53.8,2,1
L1080,83.5,1,95.7,53.4,3,1
L1081,65.7,0,77.5,37.0,4,0
L1082,59.7,2,35.1,95.3,2,1
L1083,68.5,1,79.7,61.9,3,1
L1084,62.9,3,70.8,96.2,2,1
L1085,63.7,0,41.5,73.3,3,0
L1086,55.9,0,52.1,60.4,5,1
L1087,41.0,1,60.7,71.1,4,1
L1088,38.8,0,53.0,47.2,3,0
L1089,71.8,0,48.8,58.2,3,1
L1090,57.8,3,64.1,93.3,3,1
L1091,53.1,0,28.5,75.3,3,0
L1092,62.1,0,56.5,70.0,3,0
L1093,73.9,1,79.3,45.2,4,0
L1094,64.7,1,60.8,76.6,2,0
L1095,52.2,1,47.7,77.2,2,1
L1096,80.4,1,79.9,52.3,3,1
L1097,85.7,2,83.8,83.8,2,1
L1098,69.4,0,78.9,71.5,4,0
L1099,76.6,1,77.6,75.7,3,0
L1100,80.6,2,82.3,80.9,1,1
L1101,79.0,2,77.2,80.0,3,1
L1102,71.2,1,67.4,75.9,2,0
L1103,71.0,1,65.1,92.5,4,1
L1104,69.8,0,60.5,88.7,3,1
L1105,45.5,0,35.5,70.7,5,1
L1106,72.5,0,53.4,63.6,4,0
L1107,41.7,2,44.5,85.6,2,1
L1108,50.1,1,55.4,51.9,1,0
L1109,81.6,2,87.1,75.6,2,1
L1110,74.6,0,65.5,68.8,2,1
L1111,84.3,2,83.4,75.3,5,1
L1112,57.9,2,69.8,80.9,3,0
L1113,44.7,0,46.8,30.6,4,0
L1114,58.4,0,64.3,38.7,3,0
L1115,63.5,0,57.0,69.3,3,0
L1116,63.2,2,75.6,50.0,3,1
L1117,79.0,0,76.1,90.7,4,1
L1118,56.6,1,41.8,83.1,3,1
L1119,67.3,1,63.9,32.0,2,0
L1120,47.2,2,70.7,72.9,5,0
L1121,68.8,1,60.6,34.6,3,0
L1122,62.0,1,64.5,94.0,3,1
L1123,50.8,3,59.5,53.5,1,0
L1124,58.5,0,44.7,80.6,4,0
L1125,59.2,2,63.7,90.9,3,0
L1126,57.9,0,40.1,70.7,3,0
L1127,88.6,1,66.2,84.9,3,1
L1128,60.5,3,71.2,96.0,3,0
L1129,58.3,2,61.4,88.1,3,0
L1130,30.5,2,38.1,86.7,4,0
L1131,48.6,0,57.1,82.5,4,0
L1132,58.1,1,56.2,62.7,3,1
L1133,51.7,1,53.6,86.3,4,1
L1134,82.7,1,78.4,88.0,3,1
L1135,59.5,1,49.0,82.2,3,0
L1136,81.3,1,70.2,65.2,3,1
L1137,62.9,1,55.9,68.2,2,0
L1138,62.6,0,40.4,79.5,3,0
L1139,60.7,1,47.3,55.1,2,1
L1140,62.1,0,77.9,48.7,2,0
L1141,87.8,2,77.9,88.0,1,1
L1142,27.2,1,24.1,82.1,3,0
L1143,32.0,0,24.1,22.6,5,1
L1144,53.9,2,53.3,88.8,3,1
L1145,62.2,2,78.0,66.2,4,1
L1146,72.4,0,62.6,83.4,5,0
L1147,69.1,0,78.7,62.5,3,1
L1148,56.2,0,60.2,75.0,2,0
L1149,77.3,0,73.2,75.3,3,1
L1150,77.5,2,51.6,66.4,3,1
L1151,64.8,3,71.9,76.7,3,0
L1152,76.4,0,63.0,48.0,3,0
L1153,66.1,2,71.7,54.5,4,1
L1154,53.6,0,44.7,72.0,4,1
L1155,72.5,1,67.0,59.0,2,0
L1156,63.7,2,64.2,73.7,2,0
L1157,62.0,1,57.3,91.5,3,1
L1158,84.1,0,76.1,41.2,4,1
L1159,25.2,1,35.7,83.9,4,0
L1160,40.7,3,39.6,69.6,5,1
L1161,44.2,0,68.6,74.1,3,1
L1162,56.6,0,68.7,88.9,3,1
L1163,58.2,0,47.9,70.6,4,0
L1164,39.4,1,53.5,85.1,2,0
L1165,47.2,1,42.1,87.8,3,1
L1166,49.1,2,37.8,65.9,3,0
L1167,98.9,2,91.8,71.7,1,1
L1168,89.0,3,53.5,46.9,3,1
L1169,55.8,2,66.8,47.9,3,1
L1170,56.5,0,53.1,56.3,4,0
L1171,44.8,1,47.1,76.8,3,1
L1172,33.4,1,48.3,42.9,2,0
L1173,60.2,1,65.1,78.5,3,0
L1174,47.0,3,41.0,88.6,1,0
L1175,60.7,2,67.0,64.1,2,0
L1176,38.0,3,47.3,53.1,4,0
L1177,50.6,1,37.7,76.4,3,0
L1178,64.2,1,58.3,71.3,4,0
L1179,67.5,1,78.7,78.8,1,0
L1180,68.3,0,82.7,85.0,3,1
L1181,42.2,0,56.8,85.2,3,1
L1182,74.8,1,51.9,63.0,4,1
L1183,50.0,0,58.4,52.3,4,1
L1184,71.5,3,74.5,61.9,4,1
L1185,61.8,0,67.7,45.9,4,1
L1186,41.4,0,57.2,83.3,3,1
L1187,57.3,2,60.9,43.9,4,0
L1188,67.5,0,61.2,78.0,2,0
L1189,71.2,3,56.9,73.7,2,1
L1190,59.9,2,35.2,55.0,4,0
L1191,85.0,0,75.8,94.9,2,1
L1192,77.1,2,69.6,82.3,4,1
L1193,58.2,2,63.7,74.2,3,0
L1194,73.3,2,49.2,77.2,4,1
L1195,91.0,2,82.8,65.0,3,1
L1196,91.4,2,99.9,68.9,3,1
L1197,43.6,1,49.9,33.7,4,0
L1198,48.1,1,50.7,80.5,3,0
L1199,84.3,2,75.1,48.5,2,1
L1200,46.1,3,74.8,88.6,4,1
